,,STRIKE,OPEN RANGE, HIGH, LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,OPEN INTEREST CHANGE, CONTRACT  (HIGH  LOW)
JUN20,EURO DLR CALL,9787,----,----,----,0.050N,.052+ 0.2,.113,----,----,----,12800,0,.340B,.050A
JUN20,EURO DLR CALL,9800,----,----,----,0.042N,.045+ 0.2,.097,----,----,----,12248,0,.290,.040
JUN20,EURO DLR CALL,9812,----,----,----,0.035N,.037+ 0.2,.081,----,----,----,45386,0,.220B,.040A
JUN20,EURO DLR CALL,9825,----,----,----,0.030N,.032+ 0.2,.070,----,----,----,250,0,.180B,.040
JUN20,EURO DLR CALL,9837,----,----,----,0.025N,.027+ 0.2,.060,----,----,----,36369,0,.140B,.030
JUN20,EURO DLR CALL,9850,----,----,----,0.020N,.022+ 0.2,.049,----,----,----,7139,0,.110B,.020
JUN20,EURO DLR CALL,9862,----,----,----,0.017N,.020+ 0.2,.043,----,----,----,101,0,.090B,.020A
JUN20,EURO DLR CALL,9875,----,----,----,0.015N,.017+ 0.2,.038,----,----,----,6452,0,.110B,.020
JUN20,EURO DLR CALL,9887,----,----,----,0.012N,.015+ 0.2,.032,----,100,100,4304,+100,.050B,.020A
JUN20,EURO DLR CALL,9900,----,----,----,0.010N,.012+ 0.2,.027,----,----,----,8628,0,.030,.020A
JUN20,EURO DLR CALL,9912,----,----,----,0.007N,.010+ 0.2,.022,----,----,----,5,0,.370,.020A
JUN20,EURO DLR CALL,9925,----,----,----,0.005N,.007+ 0.2,.017,----,----,----,5450,0,.030,.020A
JUN20,EURO DLR CALL,9937,----,----,----,0.005N,.005 UNCH,.012,----,----,----,501,0,.020,.010
JUN20,EURO DLR CALL,9950,----,----,----,0.002N,.005+ 0.2,.011,----,----,----,5082,0,.030,.030
JUN20,EURO DLR CALL,9987,----,----,----,0.002N,.002 UNCH,.003,----,----,----,30,0,.120,.010A
JUN20,EURO DLR CALL,10000,----,----,----,----,.002+ 0.2,.002,----,----,----,10280,0,.020,.010
JUN20,EURO DLR CALL,10050,----,----,----,----,CAB ----,.000,----,----,----,5000,0,----,----
SEP20,EURO DLR CALL,9650,----,----,----,0.435N,.442+ 0.7,.597,----,----,----,6355,0,.610B,.420A
SEP20,EURO DLR CALL,9675,----,----,----,0.310N,.317+ 0.7,.480,----,4450,700,8198,+4080,.560B,.310A
SEP20,EURO DLR CALL,9687,----,----,----,0.260N,.267+ 0.7,.423,----,----,----,16075,0,.620B,.260A
SEP20,EURO DLR CALL,9700,----,----,----,0.217N,.225+ 0.7,.371,----,----,----,36785,0,.550B,.220A
SEP20,EURO DLR CALL,9712,----,----,----,0.182N,.190+ 0.7,.323,----,----,----,23724,0,.550B,.180A
SEP20,EURO DLR CALL,9725,----,----,----,0.155N,.160+ 0.5,.280,----,600,600,18209,+239,.740B,.150A
SEP20,EURO DLR CALL,9737,----,----,----,0.130N,.135+ 0.5,.242,----,----,----,3448,0,.650B,.130A
SEP20,EURO DLR CALL,9750,----,----,----,0.110N,.112+ 0.2,.207,----,----,----,8750,0,.570B,.110A
SEP20,EURO DLR CALL,9762,----,----,----,0.092N,.095+ 0.2,.178,----,----,----,12468,0,.490B,.090A
SEP20,EURO DLR CALL,9775,----,----,----,0.077N,.080+ 0.2,.152,----,250,----,34152,+250,.430B,.080A
SEP20,EURO DLR CALL,9787,----,----,----,0.065N,.067+ 0.2,.130,----,600,600,50562,0,.360B,.070A
SEP20,EURO DLR CALL,9800,----,----,----,0.055N,.057+ 0.2,.112,----,----,----,33891,0,.300B,.060
SEP20,EURO DLR CALL,9812,----,----,----,0.047N,.050+ 0.2,.097,----,----,----,4175,0,.240B,.060A
SEP20,EURO DLR CALL,9825,----,----,----,0.040N,.042+ 0.2,.084,----,----,----,11100,0,.200B,.040A
SEP20,EURO DLR CALL,9837,----,----,----,0.035N,.037+ 0.2,.073,----,----,----,1100,0,.160B,.060A
SEP20,EURO DLR CALL,9850,----,----,----,0.030N,.032+ 0.2,.064,----,100,100,8100,+100,.130B,.030
SEP20,EURO DLR CALL,9862,----,----,----,0.025N,.027+ 0.2,.054,----,----,----,20,0,.100B,.040A
SEP20,EURO DLR CALL,9875,----,----,----,0.020N,.022+ 0.2,.045,----,----,----,101,0,.070B,.030
SEP20,EURO DLR CALL,9887,----,----,----,0.017N,.020+ 0.2,.040,----,----,----,100,0,.060B,.030
SEP20,EURO DLR CALL,9900,----,----,----,0.015N,.017+ 0.2,.035,----,----,----,8518,0,.040B,.020
